ArraySize,KeyCompare0,TimeTaken0,KeyCompare1,TimeTaken1,KeyCompare2,TimeTaken2,KeyCompare3,TimeTaken3,KeyCompare4,TimeTaken4,KeyCompare5,TimeTaken5,KeyCompare6,TimeTaken6,KeyCompare7,TimeTaken7,KeyCompare8,TimeTaken8
1000,8340,153,8390,97,8754,77,9150,72,9957,67,9957,67,9957,67,12990,69,12990,68
100000,1250570,10516,1250991,9188,1272331,8020,1354166,7379,1354166,7425,1577826,7257,1577826,7130,1577826,7095,1577826,7285
200000,2606814,16381,2607801,15196,2650357,14016,2813928,12544,2813928,12448,3261047,12093,3261047,12452,3261047,12186,3261047,12434
300000,4001520,23752,4029714,21784,4176467,20627,4176467,20104,4629598,18493,4629598,18872,4629598,18639,4629598,19893,5745086,19100
400000,5421109,31815,5422946,30167,5508261,27585,5835545,25441,5835545,25542,6729034,24583,6729034,24815,6729034,24408,6729034,24620
500000,6854226,39368,6881305,36711,7054899,33725,7464043,32561,7633053,31698,7633053,31770,8323925,31483,9120315,30768,9120315,30829
600000,8312866,47553,8369088,43582,8662861,39962,8662861,40500,9570336,37943,9570336,38099,9570336,37665,9570336,37880,11799950,37268
700000,9781712,55755,9830032,51276,10006787,48987,10340247,45601,10340247,45720,11649565,43588,11649565,43403,11649565,43367,11649565,43678
800000,11253972,63866,11257698,62137,11428105,56222,12083203,52766,12083203,52445,13871688,50533,13871688,50154,13871688,52273,13871688,51326
900000,12736987,71773,12765896,67202,13007510,61866,13895729,58187,13895729,57996,13895729,58317,16237471,56151,16237471,56913,16237471,56480
1000000,14220865,79790,14275098,74266,14622663,68448,15440942,65638,15778608,64598,15778608,64214,17159751,63437,18753041,62386,18753041,62759
1100000,15722194,88148,15804270,80730,16265934,74879,16265934,74751,17730155,70364,17730155,69943,17730155,70015,21410113,69067,21410113,69229
1200000,17239499,95876,17351713,86848,17938742,80533,17938742,80219,19753762,76365,19753762,76153,19753762,76101,19753762,76007,24217117,75758
1300000,18756540,103239,18899378,93186,19646608,86544,19646608,86494,21845527,83485,21845527,82979,21845527,82603,21845527,83056,27169142,82777
1400000,20278641,112855,20375235,104427,20728301,99391,21394681,93411,21394681,93146,24011746,89038,24011746,89857,24011746,89147,24011746,89454
1500000,21799132,120054,21840101,113671,22072404,107630,23173572,100272,23173572,100215,26248878,97002,26248878,95042,26248878,95684,26248878,95463
1600000,23323750,128909,23331273,123538,23672477,113252,24982741,105767,24982741,106073,28560395,101624,28560395,102122,28560395,101910,28560395,101309
1700000,24858283,137405,24890785,131111,25302527,119963,26823388,112181,26823388,113435,27049943,112925,30937620,108013,30937620,108045,30937620,108230
1800000,26391113,145730,26448841,137115,26931546,126033,28708586,118155,28708586,118169,28708586,118064,33392892,114654,33392892,114430,33392892,114896
1900000,27924764,153312,28007632,144220,28588285,132272,30624836,123249,30624836,122910,30624836,123193,35915849,120271,35915849,119824,35915849,119900
2000000,29459248,159395,29567647,149509,30262441,137320,31898691,132152,32574251,129351,32574251,129801,35334698,129001,38519074,126605,38519074,126195
2100000,30992322,171235,31126098,159217,31934287,147281,31934287,147792,34555566,139062,34555566,138130,34555566,138509,41192680,135089,41192680,137758
2200000,32562750,180834,32727132,172381,33651083,157210,33651083,155003,36581279,145214,36581279,147179,36581279,146686,43941355,145284,43941355,143558
2300000,34131173,189454,34325984,173307,35365893,162043,35365893,161576,38638195,152564,38638195,151054,38638195,151595,45938858,150439,46757714,150281
2400000,35699034,197248,35923854,180004,37097867,166549,37097867,165592,40727414,157757,40727414,158151,40727414,158028,40727414,157743,49651273,156138
2500000,37266532,203322,37522077,185222,38856469,171643,38856469,172221,42847757,162460,42847757,163462,42847757,163939,42847757,164004,52618031,163241
2600000,38834125,212430,39119512,191340,40614618,178251,40614618,177645,45012048,169783,45012048,169105,45012048,169536,45012048,170314,55658339,170720
2700000,40404570,221260,40653208,204513,41820606,192111,42406717,184552,44203443,182106,47211228,176472,47211228,176728,47211228,177590,47211228,176000
2800000,41978290,231088,42171159,213269,42877826,203503,44210740,191985,44210740,190910,49447640,183401,49447640,183486,49447640,183770,49447640,183274
2900000,43550302,273460,43687642,264575,44028877,262771,46019567,232377,46019567,232544,51710379,213960,51710379,212304,51710379,213398,51710379,214472
3000000,45121248,273780,45203016,266352,45667280,248238,47868322,226057,47868322,220923,54016179,216473,54016179,214958,54016179,212782,54016179,218975
3100000,46691947,254882,46718140,245358,47304922,230048,49716219,212013,49716219,211842,56364414,204878,56364414,203754,56364414,205398,56364414,203629
3200000,48270502,261041,48285400,251868,48967214,230294,51587175,215748,51587175,216241,58741398,207565,58741398,207299,58741398,207310,58741398,207521
3300000,49855942,271472,49896123,259867,50649330,239374,53481105,223079,53481105,222599,59691075,215791,61155266,214071,61155266,214044,61155266,213925
3400000,51439442,280080,51504843,266967,52328895,244779,55372621,228765,55372621,228685,55825672,228353,63600883,220506,63600883,220565,63600883,220666
3500000,53023612,289632,53114202,275543,54009423,252390,57306660,237283,57306660,235948,57306660,236230,66088321,227852,66088321,228228,66088321,227796
3600000,54605425,295799,54721064,278802,55687693,257461,59241813,241635,59241813,241577,59241813,241799,68609988,235070,68609988,234444,68609988,235633
3700000,56189566,303749,56330280,288339,57380536,264064,61195411,248251,61195411,248663,61195411,247844,71168652,240940,71168652,241141,71168652,240776
3800000,57774738,312740,57941124,296115,59103796,273429,63177076,255632,63177076,254606,63177076,255806,73758341,248156,73758341,248391,73758341,247736
3900000,59359162,321387,59550444,302611,60826103,277461,65155602,262717,65155602,261714,65155602,262093,76390172,254512,76390172,254785,76390172,254160
4000000,60943503,329421,61160284,307834,62548866,286630,65821284,273311,67172713,268686,67172713,268332,72696361,266764,79067242,262629,79067242,262366
4100000,62526238,338088,62768215,319679,64270602,294294,65859052,292503,69202110,276369,69202110,278425,69202110,279493,81765319,272855,81765319,271207
4200000,64111000,353238,64378411,324777,65994780,301433,65994780,302771,71233785,284449,71233785,283252,71233785,287586,84502580,281021,84502580,280339
4300000,65732479,358263,66030350,332542,67761832,309048,67761832,308228,73308860,291198,73308860,291060,73308860,288503,87288349,284543,87288349,286056
4400000,67350959,363742,67678916,334412,69525914,309967,69525914,309729,75383594,291900,75383594,293181,75383594,293164,90102131,289422,90102131,288631
4500000,68970118,374245,69328679,344087,71291825,319315,71291825,323421,77477517,304389,77477517,302673,77477517,303200,92950085,297730,92950085,297535
4600000,70588234,383466,70977408,355906,73057679,329648,73057679,325852,79604561,308520,79604561,309597,79604561,309426,94199228,305284,95834128,303437
4700000,72205890,386843,72625074,352956,74821325,328620,74821325,327600,81722122,310849,81722122,311985,81722122,311889,84010960,311068,98766059,309525
4800000,73825157,395231,74274600,361213,76622590,335567,76622590,335162,83879721,318723,83879721,319269,83879721,319608,83879721,318255,101733333,315426
4900000,75444561,403173,75924538,368662,78433132,341418,78433132,341937,86047206,325187,86047206,324539,86047206,325104,86047206,324955,104726365,324358
5000000,77061542,410607,77571518,374124,80240671,347560,80240671,348196,88224610,330954,88224610,331239,88224610,330890,88224610,331153,107760575,329477
5100000,78678351,422164,79219227,382650,82049129,355549,82049129,355267,90438716,339521,90438716,339033,90438716,338438,90438716,339641,110828885,337106
5200000,80296046,431000,80867142,388176,83858364,362466,83858364,363401,92652800,351909,92652800,346728,92652800,350594,92652800,346249,113938793,344788
5300000,81916716,437566,82469280,398704,85266553,373050,85692977,367633,92709552,356359,94896620,350881,94896620,352327,94896620,352170,107127398,353105
5400000,83540844,448922,84037658,413977,86372465,389735,87546287,378589,91140127,372023,97157365,362093,97157365,361305,97157365,360620,97157365,362245
5500000,85164585,471401,85605956,427734,87481197,405533,89401176,388676,89573117,386296,99416184,369426,99416184,367892,99416184,371570,99416184,371635
5600000,86785090,471153,87170890,434221,88584005,414072,91251747,392483,91251747,389315,101723681,372345,101723681,372383,101723681,372922,101723681,372566
5700000,88408337,479722,88738577,455457,89691437,442321,93104219,406070,93104219,406711,104036051,388456,104036051,392238,104036051,381973,104036051,384543
5800000,90029110,481976,90303877,452547,90987621,434101,94971581,401491,94971581,402002,106355419,384935,106355419,384978,106355419,385279,106355419,384985
5900000,91652176,490014,91871531,463829,92676998,438829,96870722,407599,96870722,408255,108710617,390330,108710617,391396,108710617,391732,108710617,391589
6000000,93273991,501107,93437817,476156,94366800,452955,98769013,420238,98769013,419765,111065399,402957,111065399,401742,111065399,400622,111065399,400219
6100000,94894029,508431,95002015,483370,96053240,451422,100664720,422359,100664720,423593,113454934,406091,113454934,406585,113454934,407885,113454934,406293
6200000,96515426,513731,96568193,491564,97743050,457007,102563322,426773,102563322,428179,115858334,411525,115858334,412568,115858334,411361,115858334,411800
6300000,98136922,526584,98140833,509101,99432586,467182,104461488,437073,104461488,436585,118257839,422879,118257839,423548,118257839,421568,118257839,423075
6400000,99772763,539487,99801964,519514,101165425,480160,106405890,445251,106405890,449014,120712427,430008,120712427,433894,120712427,429793,120712427,428861
6500000,101408425,543626,101463253,525871,102898046,480546,108349616,451350,108349616,453576,123163545,435280,123163545,432647,123163545,432317,123163545,434964
6600000,103043720,554331,103123984,533769,104628993,489667,110293213,458831,110293213,458281,122710486,443312,125637783,438731,125637783,440750,125637783,439694
6700000,104676787,560104,104781818,536588,106358812,494495,112231970,461440,112231970,461177,118890840,456685,128130684,446308,128130684,445733,128130684,445361
6800000,106311255,569726,106442049,543222,108091045,498180,114174862,465869,114174862,466612,115080910,464099,130626547,450873,130626547,450662,130626547,453091
6900000,107946157,577845,108101944,550342,109821150,507494,116153907,472999,116153907,474160,116153907,476910,133165938,458267,133165938,457974,133165938,460996
7000000,109579477,585499,109760478,555222,111550532,512990,118144533,481483,118144533,480573,118144533,482360,135713002,464593,135713002,466320,135713002,466128
7100000,111213932,593583,111420130,562773,113281722,517825,120131938,486823,120131938,487643,120131938,486231,138267568,472053,138267568,472946,138267568,471455
7200000,112844880,601987,113076424,568351,115008185,524724,122114261,492179,122114261,494685,122114261,492163,140852002,478424,140852002,478566,140852002,479089
7300000,114478370,607935,114735027,573032,116738256,530583,124108254,498136,124108254,498664,124108254,498378,143451094,484648,143451094,485356,143451094,486201
7400000,116112106,617187,116394488,582632,118494923,538991,126121156,506213,126121156,505384,126121156,506228,146072641,492867,146072641,491832,146072641,491803
7500000,117748528,629690,118055832,598024,120268188,552016,128156029,514560,128156029,516255,128156029,514881,148715372,504177,148715372,500858,148715372,500846
7600000,119384362,639466,119716600,603341,122042204,558973,130189002,520680,130189002,521755,130189002,521764,151351354,506981,151351354,505863,151351354,505630
7700000,121018593,642945,121377007,608662,123816710,561232,132221632,526155,132221632,527841,132221632,527308,154038773,513002,154038773,513059,154038773,514573
7800000,122654713,652394,123037342,613716,125588724,565951,134252844,534169,134252844,538620,134252844,533169,156726114,519152,156726114,520750,156726114,522387
7900000,124288014,659695,124696768,620661,127361184,572046,135593119,542588,136304146,539750,136304146,540626,156084628,529147,159434706,526762,159434706,527372
8000000,125921624,666559,126354432,627613,129133124,579716,135680081,558023,138382202,547137,138382202,547130,149424165,542617,162163392,533038,162163392,533394
8100000,127556246,678211,128015337,635382,130905685,590569,135768067,578221,140463704,555686,140463704,552360,142774055,554055,164896797,548632,164896797,543430
8200000,129190111,683843,129673529,638720,132675775,591712,135852453,582935,142538435,559902,142538435,559112,142538435,560364,167672745,548664,167672745,548251
8300000,130821764,691987,131330629,644255,134447068,598981,135940480,593481,144619911,565173,144619911,565297,144619911,565243,170454889,554361,170454889,554709
8400000,132459403,700106,132994750,651026,136225674,603526,136225674,604696,146703481,570478,146703481,570812,146703481,572181,173244758,561466,173244758,561698
8500000,134130193,712205,134696120,659225,138041458,610667,138041458,611725,148830535,578787,148830535,577486,148830535,578822,176078333,568409,176078333,568789
8600000,135800230,722054,136396287,666519,139859592,619531,139859592,619690,150956045,584343,150956045,584205,150956045,585146,178911472,574299,178911472,574972
8700000,137470969,729897,138097400,675685,141676323,628778,141676323,627163,153081909,592669,153081909,591215,153081909,591317,181767123,582067,181767123,582695
8800000,139141254,738125,139797838,681005,143491078,631727,143491078,632107,155202769,596664,155202769,597065,155202769,596863,184644902,588695,184644902,588513
8900000,140809989,746719,141497058,692034,145309682,639512,145309682,643010,157330490,604129,157330490,604725,157330490,608329,187527100,597940,187527100,595415
9000000,142477887,758349,143194829,699449,147120589,654263,147120589,654749,159493008,618102,159493008,618708,159493008,615762,190442062,607662,190442062,608106
9100000,144147978,794585,144895851,726394,148938780,666400,148938780,679907,161667499,648223,161667499,660187,161667499,687082,193374715,650540,193374715,630738
9200000,145814442,772096,146591886,708604,150752209,657416,150752209,658008,163837078,624696,163837078,624620,163837078,626283,193040750,617344,196315314,616829
9300000,147482988,779373,148291250,714139,152566376,662508,152566376,664696,166008557,630632,166008557,629517,166008557,632672,182902328,631862,199292501,624000
9400000,149150543,805374,149988692,740468,154379965,691537,154379965,700678,168180557,662421,168180557,664788,168180557,660325,172757720,658849,202262963,649432
9500000,150819086,831852,151688058,754708,156224142,697548,156224142,696054,170380012,662946,170380012,663257,170380012,670959,170380012,673518,205274347,671492
9600000,152490275,829639,153389426,767063,158086553,706178,158086553,701118,172603464,670107,172603464,667628,172603464,666829,172603464,673637,208299703,662646
9700000,154158739,833097,155088312,772373,159945289,720852,159945289,720270,174818841,672325,174818841,678037,174818841,680937,174818841,673333,211330197,666965
9800000,155828194,853188,156788205,771476,161804443,714296,161804443,717392,177037040,687584,177037040,684437,177037040,683398,177037040,678483,214402283,685854
9900000,157495530,827657,158485690,757580,163664264,708001,163664264,704767,179248964,672479,179248964,671785,179248964,670334,179248964,669825,217468503,669624
10000000,159163145,841352,160184068,769325,165523530,714319,165523530,723142,181491380,680654,181491380,695302,181491380,682357,181491380,680052,220561182,678730
